epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,9322.2,1.85423,0.74716,2.07674,0.97249,0.923,0.9672,0.67748,2.27113,0.83295,2.26132,0.0002576,0.0002576,0.0002576
90,9426.59,1.87722,0.75147,2.09021,0.96924,0.91961,0.96802,0.67547,2.2855,0.83724,2.27644,0.0002378,0.0002378,0.0002378
91,9531.18,1.81994,0.65458,2.05947,0.96772,0.92093,0.96809,0.68302,2.29236,0.84227,2.27254,0.000218,0.000218,0.000218
92,9635.62,1.79278,0.63894,2.02919,0.96084,0.90445,0.96386,0.67922,2.30168,0.85979,2.26554,0.0001982,0.0001982,0.0001982
93,9739.56,1.77161,0.63527,2.01364,0.93498,0.92779,0.96468,0.67268,2.31066,0.87673,2.27199,0.0001784,0.0001784,0.0001784
94,9843.48,1.75116,0.63662,2.02663,0.95749,0.9232,0.96696,0.67494,2.2869,0.85908,2.25935,0.0001586,0.0001586,0.0001586
95,9947.55,1.74047,0.6246,2.01178,0.95705,0.92415,0.9693,0.67588,2.28891,0.84276,2.27238,0.0001388,0.0001388,0.0001388
96,10051.6,1.7067,0.60531,1.9902,0.97169,0.91551,0.96755,0.67799,2.29012,0.84578,2.26691,0.000119,0.000119,0.000119
97,10155.7,1.73586,0.61759,2.00653,0.98367,0.91244,0.96921,0.68629,2.27313,0.8341,2.26016,9.92e-05,9.92e-05,9.92e-05
98,10260,1.68408,0.60507,1.98594,0.96091,0.9278,0.96818,0.68092,2.28582,0.84165,2.26837,7.94e-05,7.94e-05,7.94e-05
99,10364.1,1.67127,0.61714,1.99466,0.96153,0.92153,0.97007,0.68081,2.28927,0.83624,2.26935,5.96e-05,5.96e-05,5.96e-05
100,10468.1,1.66751,0.59521,1.97637,0.97221,0.91366,0.96839,0.67748,2.29362,0.83807,2.26924,3.98e-05,3.98e-05,3.98e-05
